id,title,description,availability,availability_date,expiration_date,link,mobile_link,image_link,price,sale_price,sale_price_effective_date,identifier_exists,gtin,mpn,brand,product_highlight,product_detail,additional_image_link,condition,adult,color,size,size_type,size_system,gender,material,pattern,age_group,multipack,is bundle,unit_pricing_measure,unit_pricing_base_measure,energy_efficiency_class,min_energy_efficiency_class,max_energy_efficiency,item_group_id,video_link,virtual_model_link,cost_of_goods_sold
mob-mesas-tablon-vintage,Renta Tablón Vintage,Renta de Tablón Vintage para eventos con Bodasesor. Color: Vintage/White | 2.40 × 1.20 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $750.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,750.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Vintage/White,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-mesa-cuadrada-vintage,Renta Mesa Cuadrada Vintage,Renta de Mesa Cuadrada Vintage para eventos con Bodasesor. Color: Vintage/White | 1.60 × 1.60 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $750.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/images/mesas/mesa-cuadrada-marmol-blanca.jpg,750.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Vintage/White,,,,,,,,,,,,,,,mob-mesas-cuadrada,,,
mob-mesas-mesa-redonda-caoba-natural,Renta Mesa Redonda Caoba Natural,Renta de Mesa Redonda Caoba Natural para eventos con Bodasesor. Color: Caoba Natural | 1.60 × 1.50 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $900.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/redonda,https://bodasesor.com/mesas/redonda,https://bodasesor.com/images/mesas/mesa-redonda-caoba.jpg,900.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Caoba Natural,,,,,,,,,,,,,,,mob-mesas-redonda,,,
mob-mesas-mesa-cuadrada-caoba-natural,Renta Mesa Cuadrada Caoba Natural,Renta de Mesa Cuadrada Caoba Natural para eventos con Bodasesor. Color: Caoba Natural | 1.60 × 1.60 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $900.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/images/mesas/mesa-cuadrada-marmol-blanca.jpg,900.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Caoba Natural,,,,,,,,,,,,,,,mob-mesas-cuadrada,,,
mob-mesas-tablon-caoba-natural,Renta Tablón Caoba Natural,Renta de Tablón Caoba Natural para eventos con Bodasesor. Color: Caoba Natural | 2.40 × 1.20 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $900.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,900.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Caoba Natural,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-mesa-serpentina,Renta Mesa Serpentina,Renta de Mesa Serpentina para eventos con Bodasesor. Colores: Natural y Negro | Diseño modular. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $900.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/serpentina,https://bodasesor.com/mesas/serpentina,https://bodasesor.com/images/mesas/mesa-serpentina.jpg,900.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-serpentina,,,
mob-mesas-tablon-para-novios-caoba-natural,Renta Tablón para Novios Caoba Natural,Renta de Tablón para Novios Caoba Natural para eventos con Bodasesor. Color: Caoba Natural | 1.60 × 1.20 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $2250.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,2250.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Caoba Natural,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-tablon-picnic-caoba-natural,Renta Tablón Picnic Caoba Natural,Renta de Tablón Picnic Caoba Natural para eventos con Bodasesor. Color: Caoba Natural | 2.40 × 1.20 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1150.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,1150.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Caoba Natural,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-tablon-picnic-vintage,Renta Tablón Picnic Vintage,Renta de Tablón Picnic Vintage para eventos con Bodasesor. Color: Vintage | 2.40 × 1.20 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1150.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,1150.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Vintage,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-tablon-marmol-blanco,Renta Tablón Mármol Blanco,Renta de Tablón Mármol Blanco para eventos con Bodasesor. Color: Mármol/White | 2.40 × 1.20 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1500.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,1500.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Mármol/White,,,,,,,,,,,,,,,mob-mesas-tablon,,,
